iucn_sid,sciname,population,old_cat,cat,cat_score
155104,Cheilopogon pinnatibarbatus,NA,LC,LC,0
155105,Platycephalus indicus,NA,DD,DD,NA
155106,Kali macrodon,NA,LC,LC,0
155107,Monopenchelys acuta,NA,LC,LC,0
155108,Omobranchus rotundiceps,NA,LC,LC,0
155109,Praealticus dayi,NA,LC,LC,0
155110,Opistognathus scops,NA,LC,LC,0
155111,Congiopodus torvus,NA,LC,LC,0
155112,Stemonosudis gracilis,NA,LC,LC,0
155113,Saurida pseudotumbil,NA,DD,DD,NA
155114,Diancistrus novaeguineae,NA,LC,LC,0
155115,Lethrinus reticulatus,NA,LC,LC,0
155116,Sardinella albella,NA,LC,LC,0
155117,Melamphaes spinifer,NA,LC,LC,0
155118,Lethrinus conchyliatus,NA,LC,LC,0
155119,Odontesthes incisa,NA,LC,LC,0
155120,Naso vlamingii,NA,LC,LC,0
155121,Paraclinus integripinnis,NA,LC,LC,0
155122,Lycodes sadoensis,NA,DD,DD,NA
155123,Clupea harengus,NA,LC,LC,0
155124,Amblyeleotris triguttata,NA,LC,LC,0
155125,Scorpaena azorica,NA,DD,DD,NA
155126,Apsilus dentatus,NA,LC,LC,0
155127,Pseudochromis omanensis,NA,DD,DD,NA
155128,Caulolatilus cyanops,NA,LC,LC,0
155129,Pterois lunulata,NA,LC,LC,0
155130,Caranx sexfasciatus,NA,LC,LC,0
155131,Moringua edwardsi,NA,LC,LC,0
155132,Eustomias monodactylus,NA,LC,LC,0
155133,Bathycongrus vicinalis,NA,LC,LC,0
155134,Alepes vari,NA,LC,LC,0
155135,Sillago japonica,NA,LC,LC,0
155136,Callionymus macclesfieldensis,NA,DD,DD,NA
155137,Chascanopsetta crumenalis,NA,DD,DD,NA
155138,Antipodocottus galatheae,NA,LC,LC,0
155139,Patagonotothen thompsoni,NA,DD,DD,NA
155140,Paramyxine wayuu,NA,DD,DD,NA
155141,Kaupichthys brachychirus,NA,LC,LC,0
155142,Laemonema rhodochir,NA,LC,LC,0
155143,Paraulopus maculatus,NA,DD,DD,NA
155144,Myripristis trachyacron,NA,LC,LC,0
155145,Brachirus sorsogonensis,NA,DD,DD,NA
155146,Anampses melanurus,NA,LC,LC,0
155147,Hoplostethus metallicus,NA,DD,DD,NA
155148,Stygnobrotula latebricola,NA,LC,LC,0
155149,Arnoglossus brunneus,NA,DD,DD,NA
155150,Prognatholiparis ptychomandibularis,NA,DD,DD,NA
155151,Apogon rubrimacula,NA,LC,LC,0
155152,Lutjanus apodus,NA,LC,LC,0
155153,Atherion elymus,NA,LC,LC,0
155154,Paraliparis operculosus,NA,DD,DD,NA
155155,Chirolophis snyderi,NA,DD,DD,NA
155156,Lepidonectes corallicola,NA,VU,VU,0.4
155157,Atrobucca kyushini,NA,DD,DD,NA
155158,Psettina hainanensis,NA,DD,DD,NA
155159,Trachinotus rhodopus,NA,LC,LC,0
155160,Hygophum proximum,NA,LC,LC,0
155161,Lycodes concolor,NA,LC,LC,0
155162,Zebrias crossolepis,NA,DD,DD,NA
155163,Haemulon striatum,NA,LC,LC,0
155164,Polydactylus microstomus,NA,LC,LC,0
155165,Corythoichthys amplexus,NA,LC,LC,0
155166,Chilomycterus schoepfii,NA,LC,LC,0
155167,Malacoctenus macropus,NA,LC,LC,0
155169,Bathylychnops brachyrhynchus,NA,DD,DD,NA
155170,Asarcenchelys longimanus,NA,DD,DD,NA
155171,Eleutheronema tridactylum,NA,DD,DD,NA
155172,Pontinus macrocephalus,NA,LC,LC,0
155173,Cynoscion xanthulus,NA,DD,DD,NA
155174,Neoclinus uninotatus,NA,LC,LC,0
155175,Gerres infasciatus,NA,DD,DD,NA
155176,Parupeneus crassilabris,NA,LC,LC,0
155177,Psenopsis anomala,NA,LC,LC,0
155178,Heteroconger klausewitzi,NA,LC,LC,0
155179,Rhacochilus vacca,NA,LC,LC,0
155180,Calamus cervigoni,NA,LC,LC,0
155181,Chirocentrodon bleekerianus,NA,LC,LC,0
155182,Pomadasys incisus,NA,LC,LC,0
155183,Paralichthodes algoensis,NA,LC,LC,0
155184,Neobythites bimaculatus,NA,LC,LC,0
155185,Paraliparis obliquosus,NA,DD,DD,NA
155186,Cirripectes filamentosus,NA,LC,LC,0
155187,Callechelys bitaeniata,NA,LC,LC,0
155188,Sicydium plumieri,NA,DD,DD,NA
155189,Scopeloberyx opisthopterus,NA,LC,LC,0
155190,Simenchelys parasitica,NA,LC,LC,0
155191,Nessorhamphus danae,NA,LC,LC,0
155192,Johnius novaeguineae,NA,LC,LC,0
155193,Coradion melanopus,NA,LC,LC,0
155194,Cirripectes alleni,NA,LC,LC,0
155195,Ichthyococcus irregularis,NA,LC,LC,0
155196,Centropogon latifrons,NA,DD,DD,NA
155197,Cotylopus acutipinnis,NA,DD,DD,NA
155198,Sebastes peduncularis,NA,DD,DD,NA
155199,Ethadophis akkistikos,NA,LC,LC,0
155200,Parapercis xanthozona,NA,LC,LC,0
155201,Ambassis urotaenia,NA,LC,LC,0
155202,Plicofollis platystomus,NA,LC,LC,0
155203,Talismania bifurcata,NA,LC,LC,0
155204,Lycodes paamiuti,NA,LC,LC,0
155205,Caulolatilus affinis,NA,LC,LC,0
155206,Brachysomophis longipinnis,NA,DD,DD,NA
155207,Menidia peninsulae,NA,LC,LC,0
155208,Scorpaenodes quadrispinosus,NA,LC,LC,0
155209,Paralichthys schmitti,NA,DD,DD,NA
155210,Gobiesox multitentaculus,NA,DD,DD,NA
155211,Synaphobranchus oregoni,NA,LC,LC,0
155212,Cosmocampus elucens,NA,LC,LC,0
155213,Synodus saurus,NA,LC,LC,0
155214,Gobius fallax,NA,LC,LC,0
155215,Dicologlossa cuneata,NA,LC,LC,0
155216,Icelinus filamentosus,NA,LC,LC,0
155218,Lipogramma robinsi,NA,DD,DD,NA
155219,Paracentropogon vespa,NA,LC,LC,0
155220,Chaetodon sedentarius,NA,LC,LC,0
155221,Halichoeres papilionaceus,NA,LC,LC,0
155222,Pentaceros japonicus,NA,LC,LC,0
155223,Gobiopterus mindanensis,NA,LC,LC,0
155224,Scorpaenodes hirsutus,NA,LC,LC,0
155225,Arnoglossus rueppelii,NA,LC,LC,0
155226,Chromogobius quadrivittatus,NA,LC,LC,0
155227,Serrivomer lanceolatoides,NA,LC,LC,0
155228,Parapercis atlantica,NA,DD,DD,NA
155229,Nemateleotris magnifica,NA,LC,LC,0
155230,Dolichopteryx anascopa,NA,DD,DD,NA
155231,Meuschenia hippocrepis,NA,LC,LC,0
155232,Rhamphocetichthys savagei,NA,LC,LC,0
155233,Saurenchelys meteori,NA,LC,LC,0
155234,Acromycter perturbator,NA,LC,LC,0
155235,Lile piquitinga,NA,LC,LC,0
155236,Austroglossus microlepis,NA,DD,DD,NA
155237,Enneapterygius abeli,NA,LC,LC,0
155238,Halichoeres binotopsis,NA,LC,LC,0
155239,Branchiostegus semifasciatus,NA,LC,LC,0
155240,Thryssa mystax,NA,LC,LC,0
155241,Hadropogonichthys lindbergi,NA,LC,LC,0
155242,Johnius trewavasae,NA,DD,DD,NA
155243,Branchiostegus japonicus,NA,LC,LC,0
155244,Nemipterus nemurus,NA,LC,LC,0
155245,Mulloidichthys dentatus,NA,LC,LC,0
155246,Synaphobranchus kaupii,NA,LC,LC,0
155248,Starksia guttata,NA,LC,LC,0
155249,Myripristis formosa,NA,DD,DD,NA
155250,Dentex congoensis,NA,LC,LC,0
155251,Araiophos eastropas,NA,DD,DD,NA
155252,Pseudojuloides kaleidos,NA,LC,LC,0
155253,Jenkinsia majua,NA,LC,LC,0
155254,Sebastes cortezi,NA,LC,LC,0
155255,Neopomacentrus bankieri,NA,LC,LC,0
155256,Coelorinchus shcherbachevi,NA,DD,DD,NA
155257,Cheilopogon rapanouiensis,NA,LC,LC,0
155258,Scopelosaurus gibbsi,NA,LC,LC,0
155259,Strongylura marina,NA,LC,LC,0
155260,Benthosema pterotum,NA,LC,LC,0
155261,Brachypleura novaezeelandiae,NA,LC,LC,0
155262,Eustomias dinema,NA,DD,DD,NA
155263,Paraclinus rubicundus,NA,LC,LC,0
155264,Lepidoperca filamenta,NA,LC,LC,0
155265,Malacocephalus occidentalis,NA,LC,LC,0
155266,Ariosoma selenops,NA,LC,LC,0
155267,Hoplostethus marisrubri,NA,DD,DD,NA
155268,Scatophagus argus,NA,LC,LC,0
155269,Opistognathus rosenblatti,NA,LC,LC,0
155270,Entomacrodus stellifer,NA,LC,LC,0
155271,Pseudochromis dixurus,NA,LC,LC,0
155272,Nesogobius hinsbyi,NA,LC,LC,0
155273,Ostorhinchus lateralis,NA,LC,LC,0
155274,Apogon wassinki,NA,LC,LC,0
155276,Thunnus atlanticus,NA,LC,LC,0
155277,Antennarius analis,NA,LC,LC,0
155278,Microgobius erectus,NA,LC,LC,0
155279,Liopropoma aberrans,NA,LC,LC,0
155280,Thryssa gautamiensis,NA,DD,DD,NA
155281,Seriolella caerulea,NA,LC,LC,0
155282,Gobius xanthocephalus,NA,LC,LC,0
155283,Coelophrys arca,NA,DD,DD,NA
155284,Pterogobius zonoleucus,NA,LC,LC,0
155285,Vanacampus vercoi,NA,LC,LC,0
155286,Peristedion amblygenys,NA,DD,DD,NA
155287,Antimora microlepis,NA,DD,DD,NA
155288,Lestidiops gracilis,NA,DD,DD,NA
155289,Schedophilus pemarco,NA,LC,LC,0
155290,Scarus schlegeli,NA,LC,LC,0
155291,Mugil incilis,NA,LC,LC,0
155292,Sparisoma strigatum,NA,LC,LC,0
155293,Pomadasys panamensis,NA,LC,LC,0
155294,Anchoviella brevirostris,NA,LC,LC,0
155295,Pseudanthias ignitus,NA,LC,LC,0
155296,Glossanodon pygmaeus,NA,LC,LC,0
155297,Apocryptodon punctatus,NA,LC,LC,0
155298,Careproctus pallidus,NA,DD,DD,NA
155299,Eubalichthys caeruleoguttatus,NA,DD,DD,NA
155300,Pentapodus emeryii,NA,LC,LC,0
155301,Rhinomuraena quaesita,NA,LC,LC,0
155302,Nectamia annularis,NA,LC,LC,0
155303,Bathylaco macrophthalmus,NA,DD,DD,NA
155304,Pomacentrus milleri,NA,LC,LC,0
155305,Oneirodes luetkeni,NA,DD,DD,NA
155306,Ricuzenius nudithorax,NA,LC,LC,0
155307,Scorpaena hatizyoensis,NA,LC,LC,0
155308,Centropyge loricula,NA,LC,LC,0
155309,Isacia conceptionis,NA,LC,LC,0
155310,Atherinomorus stipes,NA,LC,LC,0
155311,Raconda russeliana,NA,LC,LC,0
155312,Tomicodon australis,NA,LC,LC,0
155313,Canthigaster leoparda,NA,LC,LC,0
155314,Pseudocheilinus ocellatus,NA,LC,LC,0
155316,Paralichthys aestuarius,NA,DD,DD,NA
155317,Rainfordia opercularis,NA,LC,LC,0
155318,Serranus atricauda,NA,DD,DD,NA
155319,Obliquogobius turkayi,NA,LC,LC,0
155320,Nannobrachium gibbsi,NA,LC,LC,0
155321,Helcogramma decurrens,NA,LC,LC,0
155322,Plectrogenium nanum,NA,LC,LC,0
155323,Plectranthias bauchotae,NA,LC,LC,0
155324,Paraliparis orcadensis,NA,DD,DD,NA
155325,Ogcocephalus pumilus,NA,LC,LC,0
155326,Acanthistius ocellatus,NA,LC,LC,0
155327,Crocodilichthys gracilis,NA,LC,LC,0
155328,Paratriacanthodes herrei,NA,LC,LC,0
155329,Ophichthus altipennis,NA,LC,LC,0
155330,Pomadasys maculatus,NA,LC,LC,0
155474,Caspia gmelinii,NA,DD,DD,NA
155535,Paludinella sicana,NA,LC,LC,0
155552,Heleobia maltzani,NA,DD,DD,NA
155597,Hydrobia vitrea,NA,LC,LC,0
155610,Heleobia macei,NA,DD,DD,NA
155630,Paludinella globularis,NA,LC,LC,0
155835,Hydrobia acuta,NA,LC,LC,0
155843,Heleobia dalmatica,NA,DD,DD,NA
155980,Potamopyrgus antipodarum,NA,LC,LC,0
156018,Heleobia rausiana,NA,DD,DD,NA
158616,Squalus altipinnis,NA,DD,DD,NA
158617,Squalus edmundsi,NA,NT,NT,0.2
158624,Porocephalichthys dasyrhynchus,NA,LC,LC,0
158625,Odontanthias tapui,NA,LC,LC,0
158626,Nectamia fusca,NA,LC,LC,0
158627,Pseudanthias pleurotaenia,NA,LC,LC,0
158628,Nectamia zebrinus,NA,LC,LC,0
158630,Cochlefelis insidiator,NA,DD,DD,NA
158632,Salarias sinuosus,NA,LC,LC,0
161317,Benthobatis marcida,NA,LC,LC,0
161318,Leucoraja lentiginosa,NA,DD,DD,NA
161319,Bathyraja mariposa,NA,LC,LC,0
161320,Rhinobatos albomaculatus,NA,VU,VU,0.4
161321,Cirrhigaleus australis,NA,DD,DD,NA
161322,Amblyraja robertsi,NA,LC,LC,0
161324,Hydrolagus alphus,NA,DD,DD,NA
161325,Squatina nebulosa,NA,VU,VU,0.4
161326,Crassinarke dormitor,NA,DD,DD,NA
161327,Etmopterus burgessi,NA,DD,DD,NA
161328,Torpedo marmorata,NA,DD,DD,NA
161329,Dipturus cerva,NA,NT,NT,0.2
161330,Eridacnis barbouri,NA,DD,DD,NA
161331,Dactylobatus clarkii,NA,DD,DD,NA
161333,Galeus schultzi,NA,DD,DD,NA
161334,Mustelus californicus,NA,LC,LC,0
161335,Urotrygon rogersi,NA,DD,DD,NA
161336,Scyliorhinus boa,NA,LC,LC,0
161337,Pavoraja alleni,NA,LC,LC,0
161338,Beringraja cortezensis,NA,DD,DD,NA
161339,Raja radula,NA,EN,EN,0.6
161340,Amblyraja reversa,NA,DD,DD,NA
161341,Cruriraja durbanensis,NA,DD,DD,NA
161342,Gymnura australis,NA,LC,LC,0
161343,Raja herwigi,NA,DD,DD,NA
161344,Rostroraja velezi,NA,DD,DD,NA
161345,Rajella bathyphila,NA,LC,LC,0
161346,Narcine westraliensis,NA,LC,LC,0
161347,Neoraja africana,NA,DD,DD,NA
161348,Fenestraja sibogae,NA,DD,DD,NA
161349,Benthobatis moresbyi,NA,LC,LC,0
161350,Bathyraja maculata,NA,LC,LC,0
161351,Cirrhoscyllium expolitum,NA,DD,DD,NA
161352,Hexanchus nakamurai,NA,DD,DD,NA
161354,Dipturus tengu,NA,DD,DD,NA
161355,Nasolamia velox,NA,DD,DD,NA
161356,Anacanthobatis donghaiensis,NA,DD,DD,NA
161357,Myliobatis tobijei,NA,DD,DD,NA
161358,Sinobatis melanosoma,NA,LC,LC,0
161359,Fenestraja ishiyamai,NA,DD,DD,NA
161360,Squalus chloroculus,NA,EN,EN,0.6
161361,Oxynotus paradoxus,NA,DD,DD,NA
161363,Zameus ichiharai,NA,DD,DD,NA
161364,Galeus eastmani,NA,LC,LC,0
161366,Bathyraja spinicauda,NA,NT,NT,0.2
161367,Apristurus japonicus,NA,DD,DD,NA
161368,Hemitriakis complicofasciata,NA,DD,DD,NA
161370,Pavoraja nitida,NA,LC,LC,0
161371,Rajella bigelowi,NA,LC,LC,0
161372,Bathyraja andriashevi,NA,LC,LC,0
161373,Pseudobatos percellens,NA,NT,NT,0.2
161374,Cruriraja cadenati,NA,DD,DD,NA
161375,Bathyraja trachura,NA,LC,LC,0
161376,Carcharhinus sorrah,NA,NT,NT,0.2
161377,Rajella lintea,NA,LC,LC,0
161378,Carcharhinus acronotus,NA,NT,NT,0.2
161379,Sinobatis borneensis,NA,LC,LC,0
161380,Cephaloscyllium sarawakensis,NA,DD,DD,NA
161381,Bathyraja minispinosa,NA,LC,LC,0
161382,Bathyraja shuntovi,NA,DD,DD,NA
161383,Neoraja iberica,NA,LC,LC,0
161384,Centrophorus atromarginatus,NA,DD,DD,NA
161386,Bathytoshia lata,NA,LC,LC,0
161387,Bathyraja ishiharai,NA,DD,DD,NA
161388,Etmopterus spinax,NA,LC,LC,0
161390,Insentiraja laxipella,NA,DD,DD,NA
161391,Bathyraja murrayi,NA,NT,NT,0.2
161392,Amblyraja taaf,NA,DD,DD,NA
161393,Dipturus gigas,NA,DD,DD,NA
161394,Urotrygon simulatrix,NA,VU,VU,0.4
161395,Triakis scyllium,NA,LC,LC,0
161396,Aetomylaeus asperrimus,NA,DD,DD,NA
161397,Torpedo torpedo,NA,DD,DD,NA
161398,Galeus melastomus,NA,LC,LC,0
161399,Scyliorhinus canicula,NA,LC,LC,0
161400,Dipturus kwangtungensis,NA,DD,DD,NA
161402,Bathyraja interrupta,NA,LC,LC,0
161403,Somniosus pacificus,NA,DD,DD,NA
161404,Squalus montalbani,NA,VU,VU,0.4
161405,Rhinobatos holcorhynchus,NA,DD,DD,NA
161406,Galeus sauteri,NA,DD,DD,NA
161407,Etmopterus molleri,NA,DD,DD,NA
161408,Glaucostegus halavi,NA,CR,CR,0.8
161409,Rhinobatos irvinei,NA,VU,VU,0.4
161410,Squalus hemipinnis,NA,NT,NT,0.2
161411,Torpedo mackayana,NA,DD,DD,NA
161412,Scyliorhinus tokubee,NA,DD,DD,NA
161413,Isistius labialis,NA,DD,DD,NA
161414,Brochiraja leviveneta,NA,DD,DD,NA
161416,Breviraja claramaculata,NA,DD,DD,NA
161417,Centrophorus seychellorum,NA,LC,LC,0
161418,Leucoraja erinacea,NA,NT,NT,0.2
161419,Leucoraja garmani,NA,LC,LC,0
161420,Brochiraja spinifera,NA,DD,DD,NA
161421,Okamejei heemstrai,NA,DD,DD,NA
161422,Breviraja nigriventralis,NA,DD,DD,NA
161423,Narcine vermiculatus,NA,NT,NT,0.2
161424,Bathyraja matsubarai,NA,DD,DD,NA
161425,Raja undulata,NA,EN,EN,0.6
161426,Chiloscyllium arabicum,NA,NT,NT,0.2
161427,Dipturus bullisi,NA,DD,DD,NA
161428,Electrolux addisoni,NA,CR,CR,0.8
161429,Scyliorhinus comoroensis,NA,DD,DD,NA
161430,Bathyraja lindbergi,NA,LC,LC,0
161431,Urogymnus granulatus,NA,VU,VU,0.4
161432,Somniosus rostratus,NA,DD,DD,NA
161433,Squalus japonicus,NA,DD,DD,NA
161434,Atelomycterus marnkalha,NA,DD,DD,NA
161435,Scyliorhinus torazame,NA,LC,LC,0
161436,Myliobatis goodei,NA,DD,DD,NA
161437,Pentanchus profundicolus,NA,DD,DD,NA
161438,Squalus brevirostris,NA,DD,DD,NA
161439,Mobula kuhlii,NA,DD,DD,NA
161440,Pseudoraja fischeri,NA,DD,DD,NA
161441,Etmopterus villosus,NA,LC,LC,0
161442,Centrophorus lusitanicus,NA,VU,VU,0.4
161443,Etmopterus pusillus,NA,LC,LC,0
161444,Bathyraja tzinovskii,NA,LC,LC,0
161445,Narcine timlei,NA,DD,DD,NA
161446,Rostroraja ackleyi,NA,DD,DD,NA
161447,Rhinobatos punctifer,NA,NT,NT,0.2
161448,Etmopterus splendidus,NA,DD,DD,NA
161449,Scyliorhinus torrei,NA,LC,LC,0
161450,Parmaturus lanatus,NA,DD,DD,NA
161451,Mustelus albipinnis,NA,DD,DD,NA
161452,Amblyraja badia,NA,LC,LC,0
161453,Dasyatis pastinaca,NA,DD,DD,NA
161454,Bathyraja isotrachys,NA,LC,LC,0
161455,Cephalurus cephalus,NA,DD,DD,NA
161456,Squatina formosa,NA,EN,EN,0.6
161457,Pseudobatos glaucostigmus,NA,DD,DD,NA
161458,Scyliorhinus garmani,NA,DD,DD,NA
161459,Raja maderensis,NA,VU,VU,0.4
161460,Galeus cadenati,NA,DD,DD,NA
161461,Leucoraja fullonica,NA,VU,VU,0.4
161462,Bathyraja diplotaenia,NA,LC,LC,0
161463,Rhinoptera marginata,NA,NT,NT,0.2
161464,Leucoraja circularis,NA,EN,EN,0.6
161465,Pastinachus solocirostris,NA,EN,EN,0.6
161466,Raja inornata,NA,LC,LC,0
161468,Eridacnis radcliffei,NA,LC,LC,0
161469,Squalus raoulensis,NA,LC,LC,0
161470,Apristurus indicus,NA,LC,LC,0
161471,Bathyraja parmifera,NA,LC,LC,0
161473,Galeus longirostris,NA,DD,DD,NA
161475,Hydrolagus lusitanicus,NA,LC,LC,0
161476,Acroteriobatus variegatus,NA,CR,CR,0.8
161477,Malacoraja senta,NA,EN,EN,0.6
161478,Rhinobatos annandalei,NA,DD,DD,NA
161479,Galeus arae,NA,LC,LC,0
161480,Mustelus mosis,NA,DD,DD,NA
161481,Schroederobatis americana,NA,DD,DD,NA
161483,Hongeo koreana,NA,DD,DD,NA
161484,Scyliorhinus stellaris,NA,NT,NT,0.2
161485,Mustelus punctulatus,NA,DD,DD,NA
161486,Bathyraja spinosissima,NA,LC,LC,0
161487,Okamejei meerdervoortii,NA,DD,DD,NA
161488,Halaelurus boesemani,NA,VU,VU,0.4
161489,Dentiraja lemprieri,NA,LC,LC,0
161490,Amblyraja georgiana,NA,DD,DD,NA
161491,Amblyraja jenseni,NA,LC,LC,0
161492,Leucoraja wallacei,NA,LC,LC,0
161493,Okamejei philipi,NA,DD,DD,NA
161494,Springeria longirostris,NA,DD,DD,NA
161495,Fontitrygon margarita,NA,EN,EN,0.6
161496,Spiniraja whitleyi,NA,VU,VU,0.4
161497,Parmaturus melanobranchus,NA,DD,DD,NA
161498,Galeus springeri,NA,DD,DD,NA
161499,Ctenacis fehlmanni,NA,LC,LC,0
161500,Brochiraja microspinifera,NA,DD,DD,NA
161501,Iago omanensis,NA,LC,LC,0
161502,Fenestraja maceachrani,NA,DD,DD,NA
161504,Bathyraja tunae,NA,LC,LC,0
161505,Maculabatis toshi,NA,LC,LC,0
161506,Paragaleus randalli,NA,NT,NT,0.2
161507,Hemitriakis japanica,NA,LC,LC,0
161508,Centroscyllium ritteri,NA,DD,DD,NA
161509,Parmaturus albimarginatus,NA,LC,LC,0
161510,Mobula rochebrunei,NA,VU,VU,0.4
161512,Rajella fuliginea,NA,LC,LC,0
161513,Taeniurops grabata,NA,DD,DD,NA
161514,Dipturus oregoni,NA,DD,DD,NA
161515,Poroderma pantherinum,NA,DD,DD,NA
161516,Gymnura tentaculata,NA,DD,DD,NA
161517,Etmopterus lucifer,NA,LC,LC,0
161518,Mustelus norrisi,NA,DD,DD,NA
161519,Zanobatus schoenleinii,NA,DD,DD,NA
161520,Fontitrygon margaritella,NA,DD,DD,NA
161521,Centroscyllium fabricii,NA,LC,LC,0
161522,Neoraja carolinensis,NA,DD,DD,NA
161523,Narcine lingula,NA,DD,DD,NA
161524,Carcharhinus isodon,NA,LC,LC,0
161525,Squatina tergocellatoides,NA,VU,VU,0.4
161526,Carcharhinus albimarginatus,NA,VU,VU,0.4
161527,Breviraja colesi,NA,DD,DD,NA
161528,Rostroraja bahamensis,NA,DD,DD,NA
161529,Bathyraja maccaini,NA,NT,NT,0.2
161530,Rhinoptera neglecta,NA,DD,DD,NA
161531,Holohalaelurus grennian,NA,DD,DD,NA
161532,Okamejei hollandi,NA,DD,DD,NA
161533,Hemitrygon bennetti,NA,DD,DD,NA
161534,Rhinoraja kujiensis,NA,LC,LC,0
161535,Dipturus gudgeri,NA,NT,NT,0.2
161536,Squalus blainville,NA,DD,DD,NA
161537,Okamejei mengae,NA,DD,DD,NA
161539,Hemigaleus australiensis,NA,LC,LC,0
161540,Maculabatis pastinacoides,NA,VU,VU,0.4
161541,Urotrygon reticulata,NA,VU,VU,0.4
161542,Amblyraja radiata,NA,VU,VU,0.4
161543,Paragaleus tengi,NA,DD,DD,NA
161544,Schroederichthys maculatus,NA,LC,LC,0
161545,Narcine prodorsalis,NA,DD,DD,NA
161546,Urogymnus lobistomus,NA,VU,VU,0.4
161547,Pateobatis uarnacoides,NA,VU,VU,0.4
161548,Orbiraja powelli,NA,DD,DD,NA
161549,Deania hystricosa,NA,DD,DD,NA
161550,Brochiraja albilabiata,NA,DD,DD,NA
161551,Deania profundorum,NA,LC,LC,0
161552,Somniosus longus,NA,DD,DD,NA
161553,Insentiraja subtilispinosa,NA,LC,LC,0
161554,Narcine insolita,NA,DD,DD,NA
161555,Acroteriobatus leucospilus,NA,DD,DD,NA
161556,Dactylobatus armatus,NA,DD,DD,NA
161557,Chiloscyllium hasselti,NA,NT,NT,0.2
161558,Squatina japonica,NA,VU,VU,0.4
161559,Notoraja ochroderma,NA,DD,DD,NA
161560,Narcine maculata,NA,DD,DD,NA
161561,Bathyraja smithii,NA,LC,LC,0
161562,Torpedo bauchotae,NA,DD,DD,NA
161563,Orectolobus japonicus,NA,DD,DD,NA
161564,Carcharhinus altimus,NA,DD,DD,NA
161565,Dipturus garricki,NA,DD,DD,NA
161566,Maculabatis gerrardi,NA,VU,VU,0.4
161567,Galeus nipponensis,NA,DD,DD,NA
161568,Myliobatis freminvillii,NA,DD,DD,NA
161569,Myliobatis aquila,NA,DD,DD,NA
161570,Lamiopsis temminckii,NA,EN,EN,0.6
161571,Mustelus widodoi,NA,DD,DD,NA
161574,Holohalaelurus regani,NA,LC,LC,0
161575,Rhinoraja longicauda,NA,LC,LC,0
161576,Hemitrygon sinensis,NA,DD,DD,NA
161577,Arhynchobatis asperrimus,NA,DD,DD,NA
161578,Centroscyllium ornatum,NA,DD,DD,NA
161580,Tetronarce nobiliana,NA,DD,DD,NA
161581,Parmaturus pilosus,NA,DD,DD,NA
161582,Megatrygon microps,NA,DD,DD,NA
161583,Scymnodalatias garricki,NA,DD,DD,NA
161584,Fenestraja atripinna,NA,DD,DD,NA
161585,Etmopterus decacuspidatus,NA,DD,DD,NA
161586,Raja straeleni,NA,DD,DD,NA
161587,Rajella fyllae,NA,LC,LC,0
161589,Platyrhina sinensis,NA,VU,VU,0.4
161591,Cephaloscyllium silasi,NA,DD,DD,NA
161592,Fenestraja mamillidens,NA,DD,DD,NA
161593,Heteronarce prabhui,NA,DD,DD,NA
161594,Bathyraja violacea,NA,DD,DD,NA
161595,Beringraja rhina,NA,LC,LC,0
161596,Aptychotrema rostrata,NA,LC,LC,0
161597,Alopias pelagicus,NA,VU,VU,0.4
161598,Pateobatis hortlei,NA,VU,VU,0.4
161599,Raja miraletus,NA,LC,LC,0
161600,Bathyraja taranetzi,NA,LC,LC,0
161601,Dipturus doutrei,NA,DD,DD,NA
161602,Brochiraja asperula,NA,DD,DD,NA
161603,Anacanthobatis nanhaiensis,NA,DD,DD,NA
161604,Leucoraja yucatanensis,NA,DD,DD,NA
161605,Notoraja tobitukai,NA,DD,DD,NA
161606,Cirrhoscyllium japonicum,NA,DD,DD,NA
161607,Narke dipterygia,NA,DD,DD,NA
161608,Tetronarce formosa,NA,DD,DD,NA
161610,Dipturus teevani,NA,DD,DD,NA
161611,Glyphis siamensis,NA,CR,CR,0.8
161612,Bathyraja smirnovi,NA,LC,LC,0
161613,Torpedo suessii,NA,CR,CR,0.8
161614,Narke capensis,NA,DD,DD,NA
161615,Pateobatis fai,NA,VU,VU,0.4
161616,Chiloscyllium burmensis,NA,DD,DD,NA
161617,Dipturus johannisdavesi,NA,DD,DD,NA
161618,Hemitrygon laevigata,NA,NT,NT,0.2
161619,Bathyraja meridionalis,NA,DD,DD,NA
161620,Hypanus rudis,NA,DD,DD,NA
161621,Himantura undulata,NA,VU,VU,0.4
161622,Rajella kukujevi,NA,LC,LC,0
161623,Bathyraja fedorovi,NA,LC,LC,0
161624,Benthobatis yangi,NA,VU,VU,0.4
161625,Halaelurus quagga,NA,DD,DD,NA
161626,Leucoraja naevus,NA,LC,LC,0
161628,Narcine tasmaniensis,NA,LC,LC,0
161629,Raja stellulata,NA,LC,LC,0
161630,Gymnura japonica,NA,DD,DD,NA
161631,Leucoraja ocellata,NA,EN,EN,0.6
161632,Heteronarce bentuviai,NA,DD,DD,NA
161633,Mustelus manazo,NA,DD,DD,NA
161634,Pristiophorus japonicus,NA,DD,DD,NA
161635,Deania quadrispinosa,NA,NT,NT,0.2
161636,Okamejei acutispina,NA,DD,DD,NA
161637,Dipturus australis,NA,VU,VU,0.4
161638,Squatina legnota,NA,DD,DD,NA
161639,Paragaleus leucolomatus,NA,DD,DD,NA
161640,Mustelus lunulatus,NA,LC,LC,0
161641,Bathyraja hesperafricana,NA,DD,DD,NA
